"";"Term";"Overlap";"P.value";"Adjusted.P.value";"Old.P.value";"Old.Adjusted.P.value";"Odds.Ratio";"Combined.Score";"Genes";"condition";"k.means"
"85";"positive regulation of tumor necrosis factor production (GO:0032760)";"5/47";7,92486499313592e-06;0,00204778511422632;0;0;21,0894982993197;247,706813498828;"PYCARD;HSPB1;MIF;THBS1;CLU";"control";9
"86";"neutrophil degranulation (GO:0043312)";"12/479";2,44440514183958e-05;0,00413938118307443;0;0;4,75154481492811;50,4572420009897;"PYCARD;CNN2;CTSA;VAT1;LGALS3;GRN;GSN;MME;GMFG;FTH1;PSAP;MIF";"control";9
"87";"renal system development (GO:0072001)";"5/59";2,44590582458302e-05;0,00413938118307443;0;0;16,3930224867725;174,069472062642;"BMP4;ACE;MME;ITGB4;PCSK5";"control";9
"88";"neutrophil activation involved in immune response (GO:0002283)";"12/483";2,65170955138008e-05;0,00413938118307443;0;0;4,71022141340613;49,6349987223028;"PYCARD;CNN2;CTSA;VAT1;LGALS3;GRN;GSN;MME;GMFG;FTH1;PSAP;MIF";"control";9
"89";"positive regulation of angiogenesis (GO:0045766)";"6/103";3,17384756659269e-05;0,00413938118307443;0;0;11,0259125104486;114,206190853854;"RAMP2;HSPB1;ANGPTL4;CD34;THBS1;PGF";"control";9
"90";"positive regulation of vasculature development (GO:1904018)";"6/104";3,35223407375071e-05;0,00413938118307443;0;0;10,9128516271373;112,43836729553;"RAMP2;HSPB1;ANGPTL4;CD34;THBS1;PGF";"control";9
"91";"regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)";"2/7";0,000112657595121763;0,028400545480736;0;0;177,315555555556;1612,00363762435;"DAB2;DKK1";"TGFb";1
"92";"basement membrane organization (GO:0071711)";"2/8";0,000149985319689707;0,028400545480736;0;0;147,755555555556;1300,98369756721;"FLRT2;CTSS";"TGFb";1
"93";"positive regulation of non-canonical Wnt signaling pathway (GO:2000052)";"2/8";0,000149985319689707;0,028400545480736;0;0;147,755555555556;1300,98369756721;"DAB2;DKK1";"TGFb";1
"94";"glomerular filtration (GO:0003094)";"2/10";0,000240326779474838;0,028400545480736;0;0;110,805555555556;923,39931382159;"SULF1;CD34";"TGFb";1
"95";"negative regulation of morphogenesis of an epithelium (GO:1905331)";"2/11";0,000293293068647876;0,028400545480736;0;0;98,4888888888889;801,141932597962;"SULF1;PHLDB2";"TGFb";1
"96";"renal filtration (GO:0097205)";"2/11";0,000293293068647876;0,028400545480736;0;0;98,4888888888889;801,141932597962;"SULF1;CD34";"TGFb";1
"97";"negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)";"2/12";0,000351424896053094;0,0291682663724068;0;0;88,6355555555556;704,964179564822;"SHISA2;SULF1";"TGFb";1
"98";"regulation of epithelial to mesenchymal transition (GO:0010717)";"3/68";0,000547634313910708;0,0397719420477652;0;0;20,8615384615385;156,668126191167;"DAB2;GLIPR2;PHLDB2";"TGFb";1
"99";"negative regulation of Wnt signaling pathway (GO:0030178)";"4/174";0,000737315352051795;0,0469087753839188;0;0;10,825170998632;78,0764903074681;"DAB2;SHISA2;DKK1;BICC1";"TGFb";1
"100";"regulation of cellular response to growth factor stimulus (GO:0090287)";"2/18";0,000807379954972784;0,0469087753839188;0;0;55,3805555555556;394,404598363072;"SULF1;PCSK6";"TGFb";1
"101";"cytokine-mediated signaling pathway (GO:0019221)";"14/633";1,91817351260256e-06;0,00204477296443433;0;0;5,31916151148587;70,0221715017586;"VCAM1;CSF1;MX1;TNFRSF1B;PSMB10;ICAM1;IL18BP;NFKBIA;IRF7;HMOX1;ACKR3;TIMP1;LTB;IL6ST";"TGFb";2
"102";"response to cytokine (GO:0034097)";"7/138";4,56789019807342e-06;0,00243468547557313;0;0;11,8716013380221;145,978660578714;"MME;MX1;TIMP1;IL6ST;SELE;CXCL16;IL18BP";"TGFb";2
"103";"leukocyte cell-cell adhesion (GO:0007159)";"4/27";8,03667010528309e-06;0,00285569677741059;0;0;37,5822306238185;440,895777958423;"VCAM1;SELE;ICAM1;FERMT3";"TGFb";2
"104";"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)";"4/31";1,41984669251161e-05;0,00310949269282376;0;0;32,0080515297907;357,285924198;"GPX1;TNFAIP3;HMOX1;ICAM1";"TGFb";2
"105";"extracellular matrix organization (GO:0030198)";"8/229";1,45848625366968e-05;0,00310949269282376;0;0;8,09666803784451;90,1606605228237;"VCAM1;COL13A1;COL6A1;ICAM2;TIMP1;F11R;ICAM1;LOXL2";"TGFb";2
"106";"regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)";"4/39";3,6040600137869e-05;0,00640321329116139;0;0;24,6819875776398;252,518069840201;"GPX1;TNFAIP3;HMOX1;ICAM1";"TGFb";2
"107";"negative regulation of proteolysis (GO:0045861)";"4/41";4,40496647606194e-05;0,00670813466211718;0;0;23,3454759106933;234,159624766463;"CST3;EFNA1;CSTB;TIMP1";"TGFb";2
"108";"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)";"6/142";6,3208017716359e-05;0,00804271536079105;0;0;9,69019607843137;93,6952753057945;"CLDN5;VCAM1;SMAGP;CDH11;SELE;ICAM1";"TGFb";2
"109";"regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)";"3/17";6,94016149133282e-05;0,00804271536079105;0;0;45,8294930875576;438,844913306996;"BMP2;IGFBP2;IGFBP6";"TGFb";2
"110";"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)";"4/47";7,58941966312194e-05;0,00804271536079105;0;0;20,0819009100101;190,500332727282;"VCAM1;SMAGP;SELE;ICAM1";"TGFb";2
"111";"sprouting angiogenesis (GO:0002040)";"4/44";0,000113987543680331;0,0736278657105159;0;0;18,0418181818182;163,809269761167;"NRP1;CDH5;FLT1;KDR";"TGFb";3
"112";"negative regulation of signal transduction (GO:0009968)";"8/283";0,000219396660061789;0,0736278657105159;0;0;5,38209262435678;45,3421348594508;"SOCS3;FLT1;DDIT4;MMRN2;KDR;EZH2;LGMN;APLN";"TGFb";3
"113";"cellular response to vascular endothelial growth factor stimulus (GO:0035924)";"3/25";0,000378557980576026;0,0736278657105159;0;0;24,4029484029484;192,274278888393;"NRP1;FLT1;KDR";"TGFb";3
"114";"regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)";"3/26";0,00042616341253181;0,0736278657105159;0;0;23,3407755581669;181,140469496967;"DHFR;PCNA;FBXO5";"TGFb";3
"115";"positive regulation of endothelial cell proliferation (GO:0001938)";"4/67";0,000581965722999536;0,0736278657105159;0;0;11,441847041847;85,2314514394654;"NRP1;HMGB2;KDR;APLN";"TGFb";3
"116";"regulation of cell migration involved in sprouting angiogenesis (GO:0090049)";"3/30";0,000654524783116893;0,0736278657105159;0;0;19,8788788788789;145,744010406362;"MMRN2;RHOJ;KDR";"TGFb";3
"117";"positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)";"2/7";0,000663799968821819;0,0736278657105159;0;0;71,0035714285714;519,570743135646;"NDC80;MAD2L1";"TGFb";3
"118";"calcitonin family receptor signaling pathway (GO:0097646)";"2/7";0,000663799968821819;0,0736278657105159;0;0;71,0035714285714;519,570743135646;"CALCRL;ADM";"TGFb";3
"119";"nucleobase-containing small molecule interconversion (GO:0015949)";"3/31";0,00072165587112702;0,0736278657105159;0;0;19,1679536679537;138,660251623747;"DUT;RRM1;GLRX";"TGFb";3
"120";"vasculogenesis (GO:0001570)";"3/32";0,000793017837607341;0,0736278657105159;0;0;18,5060577819198;132,127050123514;"FLT1;KDR;ADM";"TGFb";3
"121";"positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)";"8/163";2,02065057239294e-06;0,00245104914431264;0;0;10,7257045840407;140,636414897528;"BST2;IL1A;CD74;ECM1;RIPK2;PLK2;F2R;F2RL1";"TGFb";4
"122";"regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)";"8/204";1,05986636682e-05;0,00467305443602271;0;0;8,46444683136412;96,9583985688987;"BST2;IL1A;CD74;ECM1;RIPK2;PLK2;F2R;F2RL1";"TGFb";4
"123";"response to molecule of bacterial origin (GO:0002237)";"6/98";1,1557430591977e-05;0,00467305443602271;0;0;13,3157776781712;151,376183937958;"JUN;IL6;GCH1;F2R;TRIB1;CXCL5";"TGFb";4
"124";"positive regulation of leukocyte migration (GO:0002687)";"4/34";2,73165761317045e-05;0,00828375171193939;0;0;26,7569023569024;281,161980973282;"LGALS3;IL6;F2RL1;CXCL5";"TGFb";4
"125";"positive regulation of intracellular signal transduction (GO:1902533)";"11/479";3,64069533997563e-05;0,00883232689478087;0;0;4,96374489037532;50,7331994307344;"BST2;IL1A;CD74;IL6;ECM1;RIPK2;PLK2;F2R;PMAIP1;F2RL1;TEK";"TGFb";4
"126";"positive regulation of interleukin-8 production (GO:0032757)";"4/44";7,68635094215271e-05;0,0152596450803979;0;0;20,0575757575758;190,015029027358;"F2R;F2RL1;HSPA1B;HSPA1A";"TGFb";4
